Signal Legend:

Key        Signal Name

0        = pre_save:inst6|RDAT
1        = pre_save:inst6|RSOP
2        = pre_save:inst6|REOP
3        = pre_save:inst6|data_en
4        = pre_save:inst6|dout
5        = pre_save:inst6|wren
6        = pre_save:inst6|wraddr
7        = pre_save:inst6|pingpong

Data Table:

Signals-> 0         1 2 3 4         5 6    7 

sample

43        08090A0Bh 0 0 1 00000000h 0 000h 0 
44        0C0D0E0Fh 0 0 1 00000000h 0 000h 0 
45        10111213h 0 0 1 00000000h 0 000h 0 
46        14151617h 0 0 1 00000000h 0 000h 0 
47        18191A1Bh 0 0 1 00000000h 0 000h 0 
48        1C1D1E1Fh 0 0 1 00000000h 0 000h 0 
49        20212223h 0 0 1 00000000h 0 000h 0 
50        24252627h 0 0 1 00000000h 0 000h 0 
51        28292A2Bh 0 0 1 00000000h 0 000h 0 
52        2C2D2E2Fh 0 0 1 00000000h 0 000h 0 
53        30313233h 0 0 1 00000000h 0 000h 0 
54        34353637h 0 0 1 00000000h 0 000h 0 
55        38393A3Bh 0 0 1 00000000h 0 000h 0 
56        3C3D3E3Fh 0 0 1 00000000h 0 000h 0 
57        40414243h 0 0 1 00000000h 0 000h 0 
58        44454647h 0 0 1 00000000h 0 000h 0 
59        48494A4Bh 0 0 1 00000000h 0 000h 0 
60        4C4D4E4Fh 0 0 1 00000000h 0 000h 0 
61        50515253h 0 0 1 00000000h 0 000h 0 
62        54555657h 0 0 1 00000000h 0 000h 0 
63        58595A5Bh 0 0 1 00000000h 0 000h 0 
64        5C5D5E5Fh 0 0 1 00000000h 0 000h 0 
65        60616263h 0 0 1 00000000h 0 000h 0 
66        64656667h 0 0 1 00000000h 0 000h 0 
67        68696A6Bh 0 0 1 00000000h 0 000h 0 
68        6C6D6E6Fh 0 0 1 00000000h 0 000h 0 
69        70717273h 0 0 1 00000000h 0 000h 0 
70        74757677h 0 0 1 00000000h 0 000h 0 
71        78797A7Bh 0 0 1 00000000h 0 000h 0 
72        7C7D7E7Fh 0 0 1 00000000h 0 000h 0 
73        80818283h 0 0 1 00000000h 0 000h 0 
74        84858687h 0 0 1 00000000h 0 000h 0 
75        88898A8Bh 0 0 1 00000000h 0 000h 0 
76        8C8D8E8Fh 0 0 1 00000000h 0 000h 0 
77        90919293h 0 0 1 00000000h 0 000h 0 
78        94959697h 0 0 1 00000000h 0 000h 0 
79        98999A9Bh 0 0 1 00000000h 0 000h 0 
80        9C9D9E9Fh 0 0 1 00000000h 0 000h 0 
81        A0A1A2A3h 0 0 1 00000000h 0 000h 0 
82        A4A5A6A7h 0 0 1 00000000h 0 000h 0 
83        A8A9AAABh 0 0 1 00000000h 0 000h 0 
84        ACADAEAFh 0 0 1 00000000h 0 000h 0 
85        B0B1B2B3h 0 0 1 00000000h 0 000h 0 
86        B4B5B6B7h 0 0 1 00000000h 0 000h 0 
87        B8B9BABBh 0 0 1 00000000h 0 000h 0 
88        BCBDBEBFh 0 0 1 00000000h 0 000h 0 
89        C0C1C2C3h 0 0 1 00000000h 0 000h 0 
90        C4C5C6C7h 0 0 1 00000000h 0 000h 0 
91        C8C9CACBh 0 0 1 00000000h 0 000h 0 
92        CCCDCECFh 0 0 1 00000000h 0 000h 0 
93        D0D1D2D3h 0 0 1 00000000h 0 000h 0 
94        D4D5D6D7h 0 0 1 00000000h 0 000h 0 
95        D8D9DADBh 0 0 1 00000000h 0 000h 0 
96        DCDDDEDFh 0 0 1 00000000h 0 000h 0 
97        E0E1E2E3h 0 0 1 00000000h 0 000h 0 
98        E4E5E6E7h 0 0 1 00000000h 0 000h 0 
99        E8E9EAEBh 0 0 1 00000000h 0 000h 0 
100       ECEDEEEFh 0 0 1 00000000h 0 000h 0 
101       F0F1F2F3h 0 0 1 00000000h 0 000h 0 
102       F4F5F6F7h 0 0 1 00000000h 0 000h 0 
103       F8F9FAFBh 0 0 1 00000000h 0 000h 0 
104       FCFDFEFFh 0 0 1 00000000h 0 000h 0 
105       00010203h 0 0 1 00000000h 0 000h 0 
106       04050607h 0 0 1 00000000h 0 000h 0 
107       08090A0Bh 0 0 1 00000000h 0 000h 0 
108       0C0D0E0Fh 0 0 1 00000000h 0 000h 0 
109       10111213h 0 0 1 00000000h 0 000h 0 
